Hi! I'm Pip!	Hi! I'm Dot!
I live on your timelines and help you manage what's on your mind. Let me show you around.	I'm the ladybug who lives on your plant, and I help you tend what's on your mind. Let me show you around.
This horizontal line is your 'Now'.	This is your plant, today at the window.
Your present moment flows along it. Everything else branches off from here.	The stem is you, growing through today. Everything else grows from here.
These branching lines are your threads.	These leaves are your worries.
Tap any thread to work with it.	Tap any leaf to tend to it.
You can add notes, make a decision, set how loud it feels, or let it go.	You can add notes, make a decision, set how wilted it feels, or let it go.
Drag a thread up or down to adjust its loudness.	Drag a leaf up or down to set its wilt.
Louder means it's taking more mental space right now. Setting it honestly helps you see clearly.	More brown spots and droop mean it's taking more mental space right now. Setting it honestly helps you see clearly.
The + button adds a new thread.	The + button grows a new leaf.
When something new lands on your mind, name it here. Named things are easier to work with.	When something new lands on your mind, name it here. Named things are easier to tend.
When a thread is resolved, merge it back.	When a worry is resolved, let the leaf heal and settle.
It rejoins your main line. The mental energy you were spending on it comes home.	The pot holds your settled leaves, and each decision clears the sky outside a little. The energy you were spending comes home.
History shows each day's progress.	History shows each day's tending.
Merges, notes, actions taken — all recorded. Reviewing it builds self-knowledge.	Leaves settled, notes, actions taken — all recorded. Reviewing it builds self-knowledge.
Change theme, language, or swap me out for another companion character.	Change the language, or swap me out for another ladybug.
I'll keep watch over your threads. Tap me anytime to interact with a specific thread. You've got this.	I'll keep watch over your leaves. Tap me anytime to tend a specific leaf. You've got this.
Reading the timeline	Reading your plant
Reading the lines	Reading the leaves
solid = active · curved back = integrated · thicker = louder · faint ✓ = decided today	each leaf = one worry · brown spots and droop = wilt · a bud = waiting · folded = resting today · faint ✓ = decided today
Moving around	The weather outside
drag or scroll sideways = move through time · along the dates = move faster	the window shows how gathered you are — sunlit · lightly clouded · overcast · soft rain
NEW	Tending
NEW	tap a leaf to tend it · drag a leaf up or down to set its wilt · healed leaves settle into the pot
Name the thread	Name the leaf
Start the thread	Grow the leaf
This resembles a thread you integrated before.	This leaf has grown back before.
Integrated {date} · returned {n} time before	Settled {date} · grew back {n} time before
Integrated {date} · returned {n} times before	Settled {date} · grew back {n} times before
Returning does not mean it was integrated too soon. Something new may be asking for attention.	Growing back does not mean it settled too soon. Something new may be asking for attention.
Returned: {reason}	Grew back: {reason}
Integrate	Heal
Fold what it gave you back into your one line.	Let it settle — what it gave you returns to the plant.
Nothing can be done about it right now — and you have said so. Its loudness eases; the line simply stays until something changes.	Nothing can be done about it right now — and you have said so. Its wilt eases; the leaf simply waits as a bud until something changes.
Return to timeline	Return to your plant
This thread is complete for now. If it returns, you can meet the new version of it.	This leaf has settled for now. If it grows back, you can meet the new version of it.
Understand this thread	Understand this leaf
How loud is this thread right now?	How wilted is this leaf right now?
Quiet	Fresh and green
Loudness {level} of 5	Wilt {level} of 5
Undecided days have made it louder.	Undecided days have wilted it a little more.
What does this thread need from you now?	What does this leaf need from you now?
Set it down. It stays on the line without pulling at you.	Set it down. It waits as a bud without pulling at you.
Action added to your main line.	Action added to your stem.
Noted on the thread.	Noted on the leaf.
It is resolved	Heal the leaf
It can end here and come back with you.	It settles, and what it gave you comes back with you.
It has become its own task	Hand it to real work
It ends here. Nothing needs to come with you.	It settles here. Nothing needs to come with you.
Burn it away	Let the leaf fall
Some worries don't get folded in. They get let go of — completely.	Some worries don't settle. They fall away — completely.
Write down what burns with it. The fire keeps nothing.	Write down what falls with it. The ground keeps nothing.
This thread will be gone from the app — completely. No line, no history. Only the lesson stays.	This leaf will be gone from the app — completely. No leaf, no history. Only what it left you stays.
What burns with it	What falls with it
Burn {item}	Let {item} fall
Add to the fire	Add it to what falls
The lesson you carry out of the fire	What it leaves you as it falls
The fire takes the weight. You keep this.	The leaf takes the weight down with it. You keep this.
Spoken to the fire — kept nowhere.	Spoken as it falls — kept nowhere.
Strike the match	Let it fall
What is true about this thread now?	What is true about this leaf now?
Your threads today	Your leaves today
Nothing is open right now. Your whole current is moving as one.	Nothing is open right now. The window is sunlit.
Some threads are too heavy to carry alone, and that is not a failure of yours. Carrying it with another person is a real way forward — a friend, someone you trust, or a professional.	Some worries are too heavy to carry alone, and that is not a failure of yours. Carrying it with another person is a real way forward — a friend, someone you trust, or a professional.
The thread stays on your timeline, marked as carried with support. Nothing about it is asked of you here.	The leaf stays on your plant, marked as carried with support. Nothing about it is asked of you here.
Marked. You selected support for this thread — it will hold that shape on the timeline.	Marked. You selected support for this leaf — it will hold that shape on the plant.
No integrated threads yet.	No settled leaves yet.
When you integrate a thread it appears here — tap to revisit it on the timeline.	When a leaf heals and settles it appears here — tap to revisit it on your plant.
Tap a thread to see where it rejoined your main line.	Tap a leaf to see where it settled into the pot.
These threads are no longer available.	These leaves are no longer available.
Integrated into the present.	Settled into the present.
Integrate it into Now	Let it heal and settle
{n} threads entering the present together	{n} leaves settling together
This thread is complete for now.	This leaf is ready to settle.
These threads are complete for now.	These leaves are ready to settle.
Nothing valuable is lost — what still matters crosses into the present with you, and the rest stays in the past, where it happened. If it returns, you can meet the new version of it.	Nothing valuable is lost — what still matters crosses into the present with you, and the rest stays in the past, where it happened. If it grows back, you can meet the new version of it.
What quiets down when you integrate it (optional)	What quiets down when it settles (optional)
Only part of it integrates for now — the rest stays with less loudness	Only part of it settles for now — the rest stays with less wilt
What does each thread correctly understand?	What does each leaf correctly understand?
Where is each thread becoming excessive?	Where is each leaf becoming excessive?
What action respects both truths without letting either thread control the whole present?	What action respects both truths without letting either leaf control the whole present?
How each thread is represented	How each leaf is represented
This thread no longer exists.	This leaf no longer exists.
This thread split off {when} and reaches Now. Take what is still yours; leave the rest where it happened. Nothing here is required.	This leaf unfurled {when} and is still with you today at the window. Take what is still yours; leave the rest where it happened. Nothing here is required.
Compare where it began with Now (optional)	Compare where it began with today (optional)
Two points on the same thread: where it began, and where you actually are.	Two points on the same leaf: where it began, and where you actually are.
What was happening when this thread began	What was happening when this leaf began
What happened when this thread began	What happened when this leaf began
At Now	Today at the window
At Now · {date}	Today at the window · {date}
Tap what's true. Naming it is how the thread starts loosening.	Tap what's true. Naming it is how the leaf starts to ease.
What this thread makes you feel	What this leaf makes you feel
What feels less available while this thread is active?	What feels less available while this leaf is open?
You selected these; adjust freely. They return to your main line each time you decide something about the thread.	You selected these; adjust freely. They return to your stem each time you decide something about the leaf.
What feels less available while this thread is active	What feels less available while this leaf is open
Moments on this thread	Moments on this leaf
Everything on this thread has a destination. Nothing is deleted; it is placed.	Everything on this leaf has a destination. Nothing is deleted; it is placed.
Marked as carried with support. Bringing this to someone you trust is a form of action, not a failure of the thread.	Marked as carried with support. Bringing this to someone you trust is a form of action, not a failure of the leaf.
NEW	Today
Threads	Leaves
Integrated	Settled
Recurring	Grew back
integrated	settled
partly integrated	partly settled
What the fires taught you	What the fallen leaves left you
Each of these outlived a worry you burned. The worry is gone; you changed.	Each of these outlived a worry you let fall. The worry is gone; you changed.
About {pct} percent of your energy moves with your main line this day.	About {pct} percent of your energy moves with your stem this day.
All of you moves with your main line.	All of you moves with your stem.
1 open line is drawing on you. Every decision returns some of that energy.	1 open leaf is drawing on you. Every decision returns some of that energy.
{n} open lines are drawing on you. Every decision returns some of that energy.	{n} open leaves are drawing on you. Every decision returns some of that energy.
on your main line	on your stem
a moment on “{title}”	a moment on the leaf “{title}”
folded back into your one line	healed and settled into the pot
Integrated threads	Settled leaves
Nothing integrated yet. Threads you integrate stay visible here and on the timeline.	Nothing settled yet. Leaves that heal and settle stay visible here and on your plant.
integrated {date}	settled {date}
What was integrated	What settled
Threads that returned. Returning does not undo integrating something — it usually points at a need that keeps asking.	Leaves that grew back. Growing back does not undo letting something settle — it usually points at a need that keeps asking.
Returned 1 time	Grew back 1 time
Returned {n} times	Grew back {n} times
Everything integrated	Everything settled
Nothing has been integrated yet.	Nothing has settled yet.
1 thread	1 leaf
{n} threads	{n} leaves
Return to Now	Return to your plant
Signing out only closes the door — every thread stays on this device.	Signing out only closes the door — every leaf stays on this device.
Bring the server copy onto this device? Matching threads are overwritten.	Bring the server copy onto this device? Matching leaves are overwritten.
📖 Chronicler	Scarlet ladybug
✨ Wisp	Amber ladybug
🗺 Wanderer	Dusk ladybug
A scholarly adventurer who notes everything and wields a quill.	A bright scarlet ladybug who keeps quiet notes on every leaf.
A glowing spirit that floats between your threads, trailing light.	A warm amber ladybug that drifts from leaf to leaf, light as pollen.
A rugged explorer with a staff, always ready for the next path.	A dusk-dark ladybug, calm and unhurried, at home on the stem.
Navigate to Now to see the tour again.	Navigate to Plant to see the tour again.
Reduce motion (no line movement or pulsing)	Reduce motion (no leaf sway or pulsing)
See what a lived-in timeline looks like: ten example threads — drifting, resting, integrated — plus today's actions. You can delete them any time.	See what a lived-in plant looks like: ten example leaves — wilting, folded, settled — plus today's actions. You can delete them any time.
Load example threads	Load example leaves
Let the app's clock run faster than real time and watch how threads grow louder when days pass without decisions. This only affects this session — reloading returns to real time.	Let the app's clock run faster than real time and watch how leaves wilt a little more when days pass without decisions. This only affects this session — reloading returns to real time.
Delete all threads, everything integrated, and your whole history? This cannot be undone.	Delete all leaves, everything settled, and your whole history? This cannot be undone.
Import a One Current export file	Import a One Current Plant export file
One Current	One Current Plant
Your threads never leave this device — the account only signs you in.	Your leaves stay on this device — the account only signs you in.
What One Current is, and how it works	What One Current Plant is, and how it works
New thread	New leaf
This has returned before	This has grown back before
This thread	This leaf
Integrate into Now	Let it heal and settle
Did this make the thread stronger, lighter, or simply different?	Did this make the leaf stronger, lighter, or simply different?
No moments recorded yet. Where it began and Now are the whole story so far.	No moments recorded yet. Where it began and today are the whole story so far.
Which threads	Which leaves
Find a thread…	Find a leaf…
No threads match your search.	No leaves match your search.
{n} of {total} threads selected	{n} of {total} leaves selected
Choose which threads to share and since when. Only what you pick here leaves the app — as a file you hand over yourself.	Choose which leaves to share and since when. Only what you pick here leaves the app — as a file you hand over yourself.
Nothing to share yet — start a thread first.	Nothing to share yet — grow a leaf first.
